time,r01c2,r010e,cycles,instructions
77.012844807,8586921027,7791242856,3336525817,7117215154
78.013021617,8587069150,7788723604,3336230434,7117201935
79.01318921,8580697369,7783537431,3335067245,7113126890
80.013354596,8597967996,7808035865,3338155119,7126397983
81.013519009,8594038243,7802940174,3336186194,7122560661
82.013676192,8596548332,7798290676,3341268502,7126622260
83.013839515,8590489659,7794651082,3335749886,7119805985
84.014016495,8593169843,7804269533,3334965819,7121788287
85.014174238,8604107696,7815254258,3341771498,7132505321
86.014337496,8596063346,7797806560,3337256765,7124346629
87.0144966,8611142833,7819799555,3343918291,7138272209
88.014655256,8594056930,7805172050,3335091095,7122389796
89.014813505,8588672937,7801055518,3334288944,7118241197
90.01499154,8604542157,7815877710,3341979821,7132898988
91.015154274,8595357670,7805953105,3336044381,7123579887
92.015339282,8603848185,7810082066,3342890645,7132318371
93.015501687,8590745083,7802198285,3334808788,7119717512
94.015663206,8596529114,7808056667,3336047655,7124440085
95.015821081,8602224239,7813250374,3341948732,7130961489
96.015993694,8594697741,7805854869,3335855737,7123075770
97.016153381,8606642520,7817257026,3341574252,7134535718
98.016308983,8596760677,7808950167,3336996859,7124606109
99.016465277,8585887139,7798569307,3335753680,7115749932
100.016628519,8591685500,7799324187,3341998508,7122390716
101.016794776,8578063599,7786022412,3334779101,7109592111
102.016973276,8584117327,7791410519,3336446532,7114412120
103.017135591,8584258074,7792994483,3340482645,7116391923
104.017300928,8578436730,7796127803,3334428569,7109637217
105.01745908,8582552374,7802045448,3334866739,7113028468
106.017624637,8588447508,7798786989,3339278141,7118764189
107.017798804,8588960866,7804962965,3337732968,7119183853
108.017974457,8584457351,7803576325,3335100158,7114549440
109.018139581,8586884456,7805478786,3337179266,7116977728
110.018301742,8591887856,7810172209,3340021731,7122249441
111.018463246,8590911867,7808250494,3337092448,7119990281
112.018635043,8594672766,7810521077,3340418301,7123898438
113.018799054,8589961896,7805958831,3337305422,7119910165
114.018975168,8577640485,7786123500,3336171141,7109643781
115.019164889,8581390706,7789804997,3336911559,7112276894
116.019329957,8595830477,7803700737,3343063971,7126117523
117.019492286,8579740287,7787833579,3335770793,7110991493
118.019655252,8580075748,7787729867,3334959884,7111018004
119.019816761,8597045745,7808651959,3342308713,7126901664
120.019993701,8590700549,7809197980,3336770254,7119721004
121.020201631,8589321584,7807242387,3336274178,7118260666
122.020367611,8601450029,7820213363,3342971775,7130278003
123.020541937,8579519133,7798329087,3334899156,7110593715
124.020704519,8579590250,7798344051,3334467549,7110679193
125.02086562,8586197164,7806912175,3340454658,7117857507
126.021039298,8582435272,7787567156,3335526572,7113060605
127.021202881,8579701900,7787766369,3334953712,7110915147
128.021366128,8580916598,7793753748,3339868397,7113115009
129.021531633,8564561648,7797898076,3335594693,7098328673
130.02169053,8554758373,7794943354,3335199269,7089920872
131.021858039,8554265917,7796097193,3336349170,7089423226
132.022031306,8542638083,7786613295,3332930858,7079975411
133.022195856,8546355520,7788231160,3332765867,7082825238
134.022354481,8540982083,7783824130,3332356901,7078559450
135.022511747,8536231950,7782259658,3332625489,7074555135
136.022670522,8532948271,7783495790,3333478572,7071768191
137.022832391,8534359022,7784575879,3333277414,7072966293
138.023026563,8531410239,7781791286,3332483046,7070474412
139.023191341,8514454421,7765018813,3326487694,7056732882
140.023355518,8529191268,7768924211,3334352030,7068913475
141.023511462,8530143663,7776687828,3333481409,7069626681
142.023673128,8527243495,7779583551,3332257127,7067030017
142.39188717,3137143838,2861068775,1225637206,2599694985
