time,SB Resource Stalls,Total Resource Stalls,ROB Resource Stalls,RS Resource Stalls,instructions
83.015155933,108990532,1401588420,71360508,1141535548,5043195109
84.015344817,108787629,1397424145,71050500,1138018204,5026751547
85.015529265,108761828,1391276069,69219680,1134564718,5018259841
86.015721774,108277408,1390754923,69244088,1134796464,5016276857
87.015897043,108299902,1390911097,70812201,1132607205,5001270235
88.016074377,108203642,1389870062,70695580,1131830924,5005596814
89.016244272,109184674,1403157708,72182519,1141825264,5045632680
90.016426775,108320182,1387419503,69682596,1130769631,4998926650
91.016603383,109420688,1398811617,68471724,1141409108,5044102186
92.016779903,109198770,1403088617,72507460,1141166556,5039369754
93.01695395,108804253,1396845989,70227696,1138930378,5034044808
94.017132404,108737421,1398096607,69227897,1141623825,5044522546
95.017305056,108109132,1386169823,69403462,1130348582,4995525581
96.017516667,108808613,1396411495,70089451,1138743945,5034045509
97.017692465,109436480,1401946953,72003627,1140646428,5042655179
98.01792036,108539056,1392031594,70017546,1134589842,5013954537
99.018116293,109487938,1401251952,70074105,1142551766,5046320684
100.018291397,108932634,1397625531,69511654,1140009637,5039802858
101.018466776,109087712,1399994636,70815510,1140773740,5039265745
102.018659052,108882442,1396024121,70465665,1137603329,5029680560
103.018837661,109110557,1396381600,69026812,1139344203,5037418595
104.019013748,108656442,1393273877,68924674,1137309230,5028297350
105.019188531,108990931,1397863239,70382143,1139125872,5033460617
106.019359947,109004908,1402757386,70311647,1144573375,5055165498
107.019534437,109143604,1401096015,70247072,1142610749,5046438418
108.019730939,109144498,1398062642,70095956,1139946565,5038102301
109.019906065,109445541,1408153601,71333362,1147436073,5067923053
110.020079283,108904767,1396299807,68593418,1140304969,5036611644
111.020269012,108638837,1391999075,70951849,1133211202,5009534116
112.020448089,109145589,1398071885,69241958,1140803694,5041167856
113.020622014,108210435,1391511901,71811391,1132023473,5008416020
114.020798244,108942929,1398540095,71174885,1139115010,5030846055
115.020981239,109243790,1400322393,69743869,1142422914,5045327821
116.021155473,108631514,1395356680,71709785,1135380419,5019554267
117.0213366,108865972,1397033975,70290587,1138432571,5029621217
118.021524485,109285133,1405894259,72005834,1144401687,5055598934
119.021699995,108488375,1394313102,70844837,1135618753,5021915384
120.021889035,108194382,1391382708,69535731,1135079844,5017616811
121.022065431,108968094,1402803389,71024337,1143248228,5054542104
122.022240534,108517312,1394423952,69236282,1138234480,5027309955
123.022422279,109390867,1401503967,68638112,1144600370,5059375150
124.022611167,108881205,1393506418,68220667,1136779818,5022363899
125.02278902,108651117,1396823603,68974711,1139089165,5030946199
126.023002305,109307953,1403213218,70591942,1143094550,5054172702
127.023194192,109214900,1401099784,70603276,1141495431,5045039870
128.023367352,108947681,1396760576,70769560,1137218549,5030078850
129.023544365,108488191,1396180179,70645980,1137849019,5030830171
130.023719703,107738701,1383885078,68603729,1129516931,4996097172
131.023893773,109599352,1400795594,69384621,1143173660,5047467355
132.024083139,108257168,1386180876,69370683,1130393576,5000468137
133.02425732,109235443,1401327810,69109442,1144343865,5056271682
134.024431026,108604903,1390450322,68630399,1135213629,5017825395
135.024614888,108700999,1395837111,69481985,1138806805,5038598819
136.024788486,108988254,1399700910,70916215,1140070208,5040574510
137.024963838,109278313,1398786790,69531173,1141020623,5045017098
138.025151307,109558101,1406727252,72286077,1144731705,5056830446
139.025327752,109276623,1402567748,71645365,1141924230,5040301166
140.02551381,108683281,1398448889,70765058,1139631411,5034253055
141.025689146,108744565,1398056738,71146785,1138695218,5027844123
142.025868289,109327053,1401759614,68623228,1144983148,5055972487
143.026051187,108770558,1395317023,70754463,1136519679,5024597039
144.026235587,109033835,1397373919,70880564,1137704175,5027296493
145.02641143,108694059,1397902046,70244175,1139713317,5036902497
146.026585766,108462504,1395334783,71519415,1135651885,5020123467
147.026771937,108846279,1396675036,70190078,1138740434,5034529093
148.026951116,109367495,1403818570,69566429,1145643253,5062702240
149.027124538,108020588,1387205521,69896504,1130425067,5001239824
150.027312417,108073271,1387436077,71187981,1128749984,4995422850
151.027488355,109804397,1406825269,72222776,1144457781,5058602879
152.02767431,109484490,1402348325,69804644,1143475262,5053468542
153.02784972,109487111,1405598816,72314774,1143324529,5051950270
154.028022732,108637882,1394457347,69171860,1137992586,5027793055
155.028196087,109474846,1407082366,71827037,1145246821,5062313570
156.028372553,108309136,1388201086,70518673,1130251347,5000324771
157.028548517,109082561,1398908419,71281818,1138622511,5032309332
158.028722791,109363650,1401381115,70671853,1141540268,5043651894
159.028906613,109185805,1400932767,71446620,1140118302,5037304614
160.029080734,109082517,1397585138,69965741,1139035641,5031407959
161.02925544,108621990,1396009988,69577712,1138831854,5031229996
162.02944752,109169232,1403160347,70751428,1143820109,5053433300
163.029631562,108511410,1397378975,71985688,1136485367,5029122732
164.029804772,109383458,1404702471,72335696,1142418779,5049803477
165.029978234,108947841,1395687582,68947713,1139049527,5038067463
166.030148622,109674432,1405664083,72327021,1143195145,5048353962
167.030322574,108655997,1395101705,71509309,1135279181,5021204419
168.03051089,109396666,1403561412,71850705,1142219310,5045996581
169.030685528,109191926,1399245037,71012542,1139135490,5031390949
170.030862459,107992710,1386722278,69396349,1130279449,4997958635
171.031032425,108718617,1400892922,70688255,1141258213,5043780344
172.031219468,107927810,1395616756,69955527,1137969325,5032185596
173.031395013,108336290,1396263243,70654569,1137468662,5031482046
174.031589542,108905584,1402823389,71606249,1141808555,5048302951
175.031766191,109037915,1398931724,69496950,1141433160,5043885484
176.03194229,108005396,1393007460,70395992,1135223667,5024362251
177.032116114,109563734,1403880754,71335547,1142541392,5048805131
178.032291777,109124209,1398492514,71366306,1137996759,5032361784
179.032471115,108898255,1396025057,70174430,1137664632,5024569807
180.03266059,108489079,1389280497,68221139,1134125214,5013576358
181.032831647,109260418,1401193580,70557656,1141721587,5044392558
182.033004104,108731128,1395217878,70614164,1136525513,5025642607
183.033184497,109807989,1407796507,71443171,1146038080,5062345372
184.033372398,108255980,1389711957,69978024,1132391613,5008298027
185.033554293,109476402,1402430553,70852645,1142167039,5044668461
186.033741986,109610003,1404340082,69955406,1145484704,5056946068
187.033917715,109581341,1405293512,71192037,1144514255,5056649173
188.034092576,108781299,1394069838,69555678,1136758843,5024412745
189.034265803,108884776,1393534924,69483128,1136370493,5021849128
190.034439632,109897330,1409376572,70172081,1149463414,5077757477
191.034613354,109024110,1396751348,69910443,1138473872,5035567401
192.03479989,108605938,1393313200,68774515,1137344822,5025995895
193.034976357,109247900,1400595082,69767260,1142264132,5046945268
194.035148861,109293146,1401884373,72185273,1139945558,5038819064
195.035322304,108691931,1396559361,70664045,1137636731,5028680797
196.035506569,109136452,1401985250,69784638,1143848143,5053444358
197.035680204,108654667,1394511326,70775938,1135837147,5022881568
198.035860749,107494081,1370134425,67879983,1113536840,4976515637
199.036035851,108842190,1394975417,70322546,1136382490,5026381374
200.036213662,108989493,1397125688,69513754,1139708891,5036539075
201.036380434,109001519,1397980876,70371335,1139299282,5032589902
202.036554088,108603055,1396584346,70202398,1138456473,5033824439
203.036726051,108949824,1400686664,71013866,1140798607,5041299221
204.036912709,108731295,1399063455,70667544,1139707560,5036327505
205.037091176,107885769,1388743551,70820844,1130672823,5002337702
206.037267416,109153631,1404097015,70556379,1144273902,5052766828
207.037439538,109528624,1409000513,72391673,1146436846,5061340430
208.037634902,108370907,1394536543,69023542,1137606730,5032045734
209.037811497,108135907,1393469888,69640673,1136391165,5023975536
210.037998163,108838932,1399369437,71637120,1138216065,5032414247
211.038223687,108951663,1403365797,71248019,1142838416,5053964239
212.038399992,108701760,1396469855,70435053,1137883068,5029492556
213.038574488,107351871,1380149983,67632429,1127013016,4986998952
214.038786353,108211908,1384873577,69005106,1129145944,4992707179
215.038964922,108632865,1399278248,70524686,1140559948,5040651207
216.039141426,108860209,1400066725,71259099,1139977551,5037322588
217.039327736,109298978,1402490030,69677050,1144014460,5055700107
218.039505846,109075701,1400220786,69535656,1141885661,5044067460
219.039679055,108300451,1397973744,70857715,1138697486,5035749784
220.03986324,109612240,1408513662,70563240,1148507626,5072248640
220.897959818,89655559,1167982438,59187135,931684765,4387956036
